GAME_ID,HOME,AWAY,DATE
252134,1049,1042,2018.03.24
252135,1043,10848,2018.03.24
252136,10431,1044,2018.03.24
252137,1047,1045,2018.03.24
252138,1041,1046,2018.03.24
252139,1049,1042,2018.03.25
252140,1043,10848,2018.03.25
252141,10431,1044,2018.03.25
252142,1047,1045,2018.03.25
252143,1041,1046,2018.03.25
252144,10431,1042,2018.03.27
252145,1047,10848,2018.03.27
252146,1049,1044,2018.03.27
252147,1041,1045,2018.03.27
252148,1043,1046,2018.03.27
252149,10431,1042,2018.03.28
252150,1047,10848,2018.03.28
252151,1049,1044,2018.03.28
252152,1041,1045,2018.03.28
252153,1043,1046,2018.03.28
252154,10431,1042,2018.03.29
252155,1047,10848,2018.03.29
252156,1049,1044,2018.03.29
252157,1041,1045,2018.03.29
252158,1043,1046,2018.03.29
252159,1044,1043,2018.03.30
252160,1045,10431,2018.03.30
252161,10848,1041,2018.03.30
252162,1042,1047,2018.03.30
252163,1046,1049,2018.03.30
252164,1044,1043,2018.03.31
252165,1045,10431,2018.03.31
252166,10848,1041,2018.03.31
252167,1042,1047,2018.03.31
252168,1046,1049,2018.03.31
252169,1044,1043,2018.04.01
252170,1045,10431,2018.04.01
252171,10848,1041,2018.04.01
252172,1042,1047,2018.04.01
252173,1046,1049,2018.04.01
252174,1047,1043,2018.04.03
252175,1049,10848,2018.04.03
252176,1041,1044,2018.04.03
252177,1042,1045,2018.04.03
252178,10431,1046,2018.04.03
252179,1047,1043,2018.04.04
252180,1049,10848,2018.04.04
252181,1041,1044,2018.04.04
252182,1042,1045,2018.04.04
252183,10431,1046,2018.04.04
252185,1049,10848,2018.04.05
252188,10431,1046,2018.04.05
252190,1045,1044,2018.04.06
252193,1043,1049,2018.04.06
252194,10848,1042,2018.04.07
252195,1045,1044,2018.04.07
252196,1041,10431,2018.04.07
252197,1047,1046,2018.04.07
252198,1043,1049,2018.04.07
252199,10848,1042,2018.04.08
252200,1045,1044,2018.04.08
252201,1041,10431,2018.04.08
252202,1047,1046,2018.04.08
252203,1043,1049,2018.04.08
252204,1042,1043,2018.04.10
252205,10431,10848,2018.04.10
252206,1046,1041,2018.04.10
252207,1044,1047,2018.04.10
252208,1045,1049,2018.04.10
252209,1042,1043,2018.04.11
252210,10431,10848,2018.04.11
252211,1046,1041,2018.04.11
252212,1044,1047,2018.04.11
252213,1045,1049,2018.04.11
252214,1042,1043,2018.04.12
252215,10431,10848,2018.04.12
252216,1046,1041,2018.04.12
252217,1044,1047,2018.04.12
252218,1045,1049,2018.04.12
252219,1044,10848,2018.04.13
252220,1043,1045,2018.04.13
252221,1047,10431,2018.04.13
252222,1049,1041,2018.04.13
252223,1042,1046,2018.04.13
252224,1044,10848,2018.04.14
252226,1047,10431,2018.04.14
252227,1049,1041,2018.04.14
252228,1042,1046,2018.04.14
252229,1044,10848,2018.04.15
252231,1047,10431,2018.04.15
252232,1049,1041,2018.04.15
252233,1042,1046,2018.04.15
252234,1041,1042,2018.04.17
252235,1043,1044,2018.04.17
252236,1049,10431,2018.04.17
252237,10848,1047,2018.04.17
252238,1045,1046,2018.04.17
252239,1041,1042,2018.04.18
252240,1043,1044,2018.04.18
252241,1049,10431,2018.04.18
252242,10848,1047,2018.04.18
252243,1045,1046,2018.04.18
252244,1041,1042,2018.04.19
252245,1043,1044,2018.04.19
252246,1049,10431,2018.04.19
252247,10848,1047,2018.04.19
252248,1045,1046,2018.04.19
252249,1041,1043,2018.04.20
252250,1046,10848,2018.04.20
252251,10431,1044,2018.04.20
252252,1045,1047,2018.04.20
252253,1042,1049,2018.04.20
252254,1041,1043,2018.04.21
252255,1046,10848,2018.04.21
252256,10431,1044,2018.04.21
252257,1045,1047,2018.04.21
252258,1042,1049,2018.04.21
252259,1041,1043,2018.04.22
252260,1046,10848,2018.04.22
252261,10431,1044,2018.04.22
252262,1045,1047,2018.04.22
252263,1042,1049,2018.04.22
252265,10848,1045,2018.04.24
252266,1046,10431,2018.04.24
252267,1047,1041,2018.04.24
252268,1044,1049,2018.04.24
252269,1043,1042,2018.04.25
252270,10848,1045,2018.04.25
252271,1046,10431,2018.04.25
252272,1047,1041,2018.04.25
252273,1044,1049,2018.04.25
252274,1043,1042,2018.04.26
252275,10848,1045,2018.04.26
252276,1046,10431,2018.04.26
252277,1047,1041,2018.04.26
252278,1044,1049,2018.04.26
252279,1045,1042,2018.04.27
252280,10848,1043,2018.04.27
252281,10431,1041,2018.04.27
252282,1049,1047,2018.04.27
252283,1044,1046,2018.04.27
252284,1045,1042,2018.04.28
252285,10848,1043,2018.04.28
252286,10431,1041,2018.04.28
252287,1049,1047,2018.04.28
252288,1044,1046,2018.04.28
252289,1045,1042,2018.04.29
252290,10848,1043,2018.04.29
252291,10431,1041,2018.04.29
252292,1049,1047,2018.04.29
252293,1044,1046,2018.04.29
252294,1045,1043,2018.05.01
252295,1041,10848,2018.05.01
252296,1042,1044,2018.05.01
252297,1046,1047,2018.05.01
252298,10431,1049,2018.05.01
252299,1045,1043,2018.05.02
252301,1042,1044,2018.05.02
252302,1046,1047,2018.05.02
252303,10431,1049,2018.05.02
252304,1045,1043,2018.05.03
252305,1041,10848,2018.05.03
252306,1042,1044,2018.05.03
252307,1046,1047,2018.05.03
252308,10431,1049,2018.05.03
252309,1046,1042,2018.05.04
252310,1047,1045,2018.05.04
252311,1043,10431,2018.05.04
252312,1044,1041,2018.05.04
252313,10848,1049,2018.05.04
252314,1046,1042,2018.05.05
252315,1047,1045,2018.05.05
252316,1043,10431,2018.05.05
252317,1044,1041,2018.05.05
252318,10848,1049,2018.05.05
252321,1043,10431,2018.05.06
252322,1044,1041,2018.05.06
252324,1049,1042,2018.05.08
252325,1044,1045,2018.05.08
252326,1043,1041,2018.05.08
252327,10431,1047,2018.05.08
252328,10848,1046,2018.05.08
252329,1049,1042,2018.05.09
252330,1044,1045,2018.05.09
