PLAYER_ID,NAME,TEAM_ID,PLATE_APPEARANCE,AT_BAT,DOUBLE,TRIPLE,STOLEN_BASE,CAUGHT_STEALING,SACRIFICE_HIT,SACRIFICE_FLY,SALARY
1,가르시아,1044,85,73,3,0,2,0,0,3,2800
2,강민호,1046,179,157,8,0,0,0,0,5,60000
3,강백호,10848,187,167,15,0,0,2,0,2,70000
4,강상원,1042,5,5,0,0,1,0,0,0,3000
5,강승호,1044,109,94,4,0,1,1,3,1,10500
6,강윤구,10431,0,0,0,0,0,0,0,0,6000
7,강진성,10431,39,34,1,0,0,0,2,0,3100
8,강한울,1046,145,132,4,1,2,3,3,0,3100
9,고종욱,1049,119,111,1,0,4,2,0,1,8500
10,구자욱,1046,100,91,5,2,2,0,0,0,2900
11,국해성,1041,22,20,2,0,0,0,0,0,37000
12,권정웅,1046,8,8,0,0,0,0,0,0,3500
13,권희동,10431,34,33,3,0,0,0,0,0,7500
14,김강민,1047,0,0,0,0,0,0,0,0,250000
15,김규민,1049,95,85,1,1,3,2,1,0,5500
16,김동엽,1047,163,154,6,0,5,1,0,2,3000
17,김동욱,10848,6,5,0,0,0,0,0,0,55000
18,김동한,1045,27,24,0,0,1,1,0,1,3300
19,김문호,1045,106,92,7,0,1,0,2,0,29000
20,김민성,1049,159,142,9,0,1,0,1,0,20000
21,김민수,1046,2,2,0,0,0,0,0,0,2800
22,김민식,1043,148,126,5,1,2,0,5,0,4500
23,김민하,1042,13,13,0,0,1,1,0,0,8500
24,김민혁,1041,47,43,2,0,0,0,0,0,9000
25,김사훈,1045,40,40,1,0,0,0,0,0,3200
26,김상수,1046,177,156,7,0,5,3,2,1,5300
27,김선빈,1043,184,160,11,1,0,0,3,1,7300
28,김성욱,10431,163,147,4,0,6,1,0,0,18800
29,김성윤,1046,2,2,0,0,0,0,0,0,11000
30,김성현,1047,133,122,8,0,1,0,0,2,6000
31,김성훈,1046,74,63,2,0,4,2,2,1,3500
32,김세현,1043,0,0,0,0,0,0,0,0,140000
33,김용의,1044,72,62,1,0,4,0,3,0,10500
34,김유신,1043,0,0,0,0,0,0,0,0,70000
35,김응민,1046,1,1,0,0,0,0,0,0,3000
36,김인태,1041,46,39,3,0,0,0,0,0,6600
37,김재윤,10848,0,0,0,0,0,0,0,0,3600
38,김재율,1044,6,4,0,0,0,0,0,0,18500
39,김재현,1049,44,37,3,0,0,0,2,0,6000
40,김재현,1047,14,11,0,0,2,0,0,0,35000
41,김재호,1041,160,136,7,0,4,0,3,2,35000
42,김재환,1041,208,177,11,1,1,0,0,4,38000
43,김정후,1041,1,1,0,0,0,0,0,0,6200
44,김종민,10431,4,4,0,0,0,0,0,0,7200
45,김주찬,1043,190,170,12,0,2,1,1,4,2700
46,김주형,1043,7,7,0,0,0,0,0,0,75000
47,김지성,1043,0,0,0,0,0,0,0,0,3500
48,김지수,1049,37,32,0,0,0,1,0,0,26500
49,김지열,10848,20,19,2,0,0,0,0,0,60000
50,김진성,10431,0,0,0,0,0,0,0,0,70000
51,김태균,1042,147,136,5,0,0,0,0,0,5500
52,김태연,1042,4,4,0,0,0,0,0,0,7500
53,김태완,1049,66,59,2,0,0,0,0,1,15000
54,김하성,1049,186,172,9,3,1,2,1,3,16000
55,김헌곤,1046,219,194,9,0,5,4,2,1,3000
56,김현수,1044,232,201,18,2,1,0,0,5,100000
57,김혜성,1049,138,123,6,2,8,1,2,1,80000
58,김호재,1046,6,5,0,0,0,0,1,0,32000
59,김회성,1042,27,23,1,0,0,0,0,0,3300
60,나경민,1045,5,3,0,0,1,2,0,0,3100
61,나성범,10431,211,198,11,1,1,0,0,1,4300
62,나원탁,1045,9,9,0,0,0,0,0,0,3000
63,나종덕,1045,97,85,1,0,0,0,5,0,140000
64,나주환,1047,162,143,8,0,1,6,5,0,23000
65,나지완,1043,175,149,7,0,0,0,0,1,6200
66,노수광,1047,188,167,7,3,4,3,4,0,7800
67,노진혁,10431,161,145,6,2,2,0,1,1,3000
68,도태훈,10431,6,5,0,0,0,0,0,0,11500
69,러프,1046,217,181,16,1,2,0,0,3,60000
70,로맥,1047,211,177,9,0,2,1,0,2,2800
71,로하스,10848,224,203,15,0,5,4,0,0,3200
72,류지혁,1041,69,53,2,0,3,1,3,1,2700
73,모창민,10431,167,148,7,0,2,3,0,3,4000
74,문경찬,1043,0,0,0,0,0,0,0,0,4500
75,문규현,1045,120,105,7,0,0,0,6,1,18000
76,문선재,1044,6,6,0,0,0,0,0,0,18500
77,민병헌,1045,135,121,7,0,1,1,2,2,5600
78,박건우,1041,205,190,10,1,4,1,0,1,11000
79,박경수,10848,206,176,9,0,3,0,0,0,40000
80,박광열,10431,4,3,0,0,0,0,0,0,3000
81,박기혁,10848,80,72,1,0,0,0,2,1,2700
82,박동원,1049,128,117,3,0,0,0,2,0,8500
83,박민우,10431,148,134,3,2,4,1,1,3,15000
84,박병호,1049,94,69,1,0,0,1,0,0,19000
85,박석민,10431,149,128,6,0,0,0,0,1,31000
86,박성한,1047,39,34,1,0,0,0,0,0,75000
87,박세혁,1041,35,32,2,0,0,0,0,0,9500
88,박승욱,1047,24,21,1,0,1,0,1,0,10000
89,박용택,1044,225,199,15,1,1,2,0,3,60000
90,박정배,1047,0,0,0,0,0,0,0,0,11000
91,박정음,1049,13,12,0,0,0,0,0,0,5000
92,박준태,1043,4,4,0,0,0,0,0,0,3100
93,박준혁,1042,2,2,0,0,0,0,0,0,3400
94,박지규,1044,14,11,0,0,0,0,1,0,3000
95,박찬도,1046,68,59,4,1,1,2,1,0,25000
96,박한이,1046,108,96,6,0,3,0,1,0,65000
97,박해민,1046,216,195,6,4,12,5,4,1,5000
98,박헌도,1045,5,4,0,0,0,0,0,0,6200
99,배영섭,1046,114,100,5,0,1,0,2,0,7000
100,배재환,10431,0,0,0,0,0,0,0,0,3300
101,백민기,1041,5,5,0,0,0,0,0,0,2800
102,백승현,1044,1,1,0,0,0,0,0,0,3000
103,백용환,1043,40,36,0,0,0,1,1,0,28000
104,백창수,1042,26,22,2,0,0,0,0,0,5000
105,버나디나,1043,178,162,6,1,11,3,0,0,73000
106,번즈,1045,145,137,10,2,0,0,0,0,2800
107,변진수,1041,0,0,0,0,0,0,0,0,10000
108,서건창,1049,32,27,2,0,1,0,1,0,3000
109,서동욱,1043,48,42,3,0,0,0,0,1,20000
110,손시헌,10431,51,43,2,0,0,0,0,0,25000
111,손아섭,1045,217,193,10,0,4,1,1,0,4000
112,손주인,1046,78,71,5,0,2,0,4,0,80000
113,송광민,1042,198,184,11,0,0,3,0,4,5500
114,송성문,1049,57,55,3,0,1,2,1,0,5000
115,스크럭스,10431,193,166,10,0,1,1,0,2,50000
116,신본기,1045,168,150,11,0,1,1,1,2,2700
117,신재웅,1047,0,0,0,0,0,0,0,0,7000
118,신진호,10431,25,22,0,0,0,0,0,0,2700
119,심우준,10848,134,124,7,0,7,6,1,0,2900
120,안영명,1042,0,0,0,0,0,0,0,0,50000
121,안익훈,1044,105,97,4,0,0,1,2,1,11000
