GAME_ID,PLAYER_ID,IS_HOME,POSITION,AT_BAT,HIT,HOME_RUN,RUN_BATTED_IN,RUN_SCORE,WALK,STRIKE_OUT,HIT_BY_PITCHING,BATTING_AVERAGE
252134,9,1,6,3,1,0,0,2,1,1,0,0.333
252134,20,1,7,3,1,0,1,1,1,1,0,0.333
252134,48,1,1,0,0,0,0,0,0,0,0,0
252134,51,0,4,4,3,0,0,0,0,1,0,0.75
252134,53,1,3,4,2,1,1,1,1,1,0,0.5
252134,54,1,5,5,1,0,0,0,0,2,0,0.2
252134,82,1,9,4,2,0,2,1,0,0,0,0.5
252134,84,1,4,5,2,0,0,0,0,1,0,0.4
252134,108,1,1,5,1,0,0,0,0,1,0,0.2
252134,113,0,3,4,2,0,0,1,0,1,0,0.5
252134,125,0,2,5,1,0,0,0,0,0,0,0.2
252134,128,0,9,3,0,0,0,0,1,1,0,0
252134,148,0,4,0,0,0,0,0,0,0,0,0
252134,159,0,1,5,1,0,1,0,0,2,0,0.2
252134,166,1,8,3,2,0,1,1,1,0,0,0.667
252134,175,1,6,0,0,0,0,0,0,0,0,0
252134,184,0,6,1,0,0,0,0,0,1,0,0
252134,185,0,6,3,0,0,0,0,0,1,0,0
252134,202,0,8,1,1,0,0,0,0,0,0,1
252134,206,1,2,5,0,0,0,0,0,3,0,0
252134,210,0,5,0,0,0,0,0,0,0,0,0
252134,211,0,8,3,1,0,0,0,0,2,0,0.333
252134,220,0,5,4,1,0,1,0,0,0,0,0.25
252134,228,0,7,4,3,0,0,2,0,0,0,0.75
252135,3,0,8,4,1,1,1,1,0,2,0,0.25
252135,22,1,8,2,1,0,0,1,0,0,1,0.5
252135,27,1,9,3,1,0,0,1,1,0,0,0.333
252135,45,1,2,3,1,0,1,0,0,1,0,0.333
252135,65,1,5,5,2,0,2,0,0,1,0,0.4
252135,71,0,3,4,2,2,2,2,0,1,0,0.5
252135,79,0,7,4,2,0,1,0,0,2,0,0.5
252135,81,0,1,1,1,0,0,0,0,0,0,1
252135,105,1,3,5,2,0,1,1,0,0,0,0.4
252135,119,0,1,4,1,0,0,0,0,2,0,0.25
252135,123,1,6,4,0,0,0,0,0,1,1,0
252135,136,0,8,0,0,0,0,0,0,0,0,0
