GAME_ID,IS_HOME,PLAYER_ID,WIN_LOSE_SAVE,INNING_PITCHED,BATS,EARNED_HIT,ALLOWED_RUN,EARNED_RUN,WALK,STRIKE_OUT,EARNED_HOME_RUN,EARNED_RUN_AVERAGE
252149,0,5,W,1,4,2,0,0,0,1,0,0
252154,0,5,H,0.1,3,2,0,0,0,0,0,0
252139,0,5,Null,0.1,1,0,0,0,0,1,0,0
252301,1,12,W,0.1,1,0,0,0,0,1,0,0
252162,1,12,Null,4.1,16,1,0,0,2,7,0,0
252177,1,12,Null,1,3,0,0,0,0,3,0,0
252182,1,12,Null,0.2,4,2,1,1,0,1,1,13.5
252194,0,12,Null,0.2,6,2,2,2,1,1,0,27
252214,1,12,Null,1,6,2,1,1,1,1,0,9
252228,1,12,Null,1.1,5,1,0,0,0,2,0,0
252244,0,12,Null,1.2,6,0,1,1,1,2,0,5.4
252253,1,12,Null,2,9,4,1,1,0,1,1,4.5
252279,0,12,Null,3,12,2,0,0,1,4,0,0
252306,1,12,Null,0.1,3,2,2,2,0,0,2,54
252314,0,12,Null,4.1,18,4,2,2,1,4,1,4.15
252342,1,12,Null,1,4,1,0,0,0,1,0,0
252369,0,12,Null,1.2,6,0,0,0,1,1,0,0
252379,0,12,Null,1,4,1,0,0,0,1,0,0
252397,1,12,Null,2.2,10,2,1,1,0,3,0,3.38
252316,1,18,W,5,23,5,2,2,2,4,0,3.6
252372,1,18,W,5.2,23,3,1,1,1,6,0,1.59
252254,0,18,L,5,24,7,4,4,1,2,1,7.2
252290,0,18,L,6,24,6,4,2,0,4,2,3
252339,0,18,L,6,29,10,6,6,2,0,2,9
252394,1,18,L,4.1,26,12,9,7,0,3,1,14.54
252204,1,81,W,2,6,0,0,0,0,1,0,0
252306,1,81,W,2,6,1,0,0,0,1,0,0
252233,1,81,H,1,4,2,0,0,0,0,0,0
252284,0,81,H,1,5,2,1,1,0,1,1,9
252296,1,81,H,1,4,1,0,0,1,0,0,0
252329,0,81,H,2.1,9,2,1,1,0,1,0,3.86
252334,0,81,H,1,5,2,0,0,0,1,0,0
252365,1,81,H,2,9,3,0,0,0,3,0,0
252374,0,81,H,1,4,1,0,0,0,0,0,0
252387,1,81,H,0.1,3,2,2,2,0,0,0,54
252182,1,81,Null,5,23,7,3,3,1,3,1,5.4
252199,0,81,Null,1.2,5,0,0,0,0,1,0,0
252223,1,81,Null,1.1,4,0,0,0,0,0,0,0
252239,0,81,Null,1,3,0,0,0,0,0,0,0
252253,1,81,Null,2,9,3,0,0,1,1,0,0
252274,0,81,Null,1,3,0,0,0,0,0,0,0
252352,1,81,Null,1.1,5,1,0,0,0,0,0,0
252355,1,81,Null,0.2,5,3,2,2,0,1,1,27
252399,0,81,Null,1,5,2,1,1,0,0,0,9
252372,0,96,Null,1,4,1,0,0,1,0,0,0
252388,1,96,Null,1.1,7,3,2,2,0,0,0,13.5
252341,0,99,W,0.1,1,0,0,0,0,0,0,0
252235,0,99,L,1,6,1,1,0,1,1,0,0
252164,1,99,H,0.2,4,1,0,0,1,0,0,0
252217,1,99,H,0.1,2,1,1,1,0,0,0,27
252229,1,99,H,0.2,2,0,0,0,0,0,0,0
252273,1,99,H,0.1,2,0,0,0,0,0,0,0
252288,1,99,H,0.1,2,1,0,0,0,1,0,0
252136,0,99,Null,0.2,3,1,0,0,0,1,0,0
252146,0,99,Null,0.2,4,2,0,0,0,0,0,0
252169,1,99,Null,0.1,2,1,0,0,0,0,0,0
252176,0,99,Null,0.2,3,1,1,1,0,1,1,13.5
252195,0,99,Null,1,4,1,0,0,1,0,0,0
252251,0,99,Null,0.2,4,2,2,2,0,0,0,27
252261,0,99,Null,0.2,2,1,0,0,0,0,0,0
252268,1,99,Null,0.2,2,0,0,0,0,1,0,0
252283,1,99,Null,0.2,4,2,1,1,0,0,0,13.5
252296,0,99,Null,0.2,3,1,0,0,0,0,0,0
252306,0,99,Null,0,2,2,2,2,0,0,0,0
252312,1,99,Null,1.1,5,1,1,1,0,1,0,6.75
252335,1,99,Null,0.1,2,1,1,1,0,0,0,27
252361,0,99,Null,1,6,1,3,3,2,2,0,27
252366,0,99,Null,1,6,2,3,3,1,0,1,27
252391,1,99,Null,1,4,0,0,0,1,2,0,0
252178,0,101,L,0,1,1,1,1,0,0,1,0
252243,0,101,L,0.1,4,3,3,3,0,0,1,81
252378,0,101,L,2.1,10,3,2,2,0,3,1,7.71
252138,0,101,H,1,3,0,0,0,0,0,0,0
252173,1,101,H,1,4,0,0,0,0,0,0,0
252223,0,101,H,1,4,0,0,0,1,1,0,0
252153,0,101,Null,1,4,1,0,0,0,0,0,0
252163,1,101,Null,1,6,2,0,0,1,1,0,0
252197,0,101,Null,1,3,0,0,0,0,1,0,0
252211,1,101,Null,1,3,1,0,0,0,0,0,0
252233,0,101,Null,1,4,1,0,0,0,0,0,0
252238,0,101,Null,0.2,6,2,3,0,2,1,1,0
252260,1,101,Null,1,3,0,0,0,0,1,0,0
252271,1,101,Null,0.2,4,2,2,2,0,1,0,27
252276,1,101,Null,1,4,0,0,0,0,2,0,0
252297,1,101,Null,2,10,3,1,1,0,0,0,4.5
252314,1,101,Null,1,3,0,0,0,0,2,0,0
252338,0,101,Null,0.1,2,1,0,0,0,0,0,0
