PITHIT_ID,PITCHER_ID,HITTER_ID,PLATE_APPEARANCE,AT_BAT,HIT,BATTING_AVERAGE
1,774,13,1,1,0,0
2,528,28,1,1,0,0
3,785,28,1,1,0,0
4,774,28,1,1,1,1
5,713,61,4,4,0,0
6,785,61,1,1,0,0
7,200,67,1,1,0,0
8,713,67,2,2,0,0
9,785,67,1,1,1,1
10,200,73,1,1,0,0
11,640,73,1,1,0,0
12,785,73,3,2,1,0.5
13,785,83,1,1,0,0
14,528,83,1,1,1,1
15,606,110,1,1,0,0
16,785,154,1,1,0,0
17,785,201,1,1,0,0
18,381,51,2,2,0,0
19,1304,51,3,3,0,0
20,624,51,3,3,1,0.333
21,772,51,3,3,2,0.667
22,194,51,1,1,1,1
23,775,51,1,1,1,1
24,381,113,2,1,0,0
25,727,113,2,2,0,0
26,775,113,2,2,0,0
27,1304,113,3,2,0,0
28,772,113,3,3,1,0.333
29,624,113,3,3,2,0.667
30,722,113,3,3,2,0.667
31,194,159,2,2,0,0
32,605,159,1,1,0,0
33,624,159,3,3,0,0
34,1304,159,3,2,0,0
35,722,159,3,3,1,0.333
36,772,159,5,4,2,0.5
37,381,159,2,1,1,1
38,775,159,1,1,1,1
39,194,185,2,2,0,0
40,722,185,3,2,0,0
41,727,185,2,1,0,0
42,772,185,5,5,2,0.4
43,381,185,2,2,1,0.5
44,624,185,2,2,1,0.5
45,1304,185,3,3,2,0.667
46,775,185,1,1,1,1
47,381,216,2,1,0,0
48,12,19,2,2,0,0
49,110,19,1,1,0,0
50,115,19,7,7,0,0
51,193,19,1,1,0,0
52,199,19,1,1,0,0
53,201,19,1,1,0,0
54,267,19,1,1,0,0
55,284,19,1,1,0,0
56,290,19,1,1,0,0
57,292,19,1,1,0,0
58,360,19,1,1,0,0
59,434,19,3,3,0,0
60,446,19,2,2,0,0
61,530,19,2,1,0,0
62,533,19,1,1,0,0
63,535,19,1,1,0,0
64,625,19,1,1,0,0
65,696,19,1,1,0,0
66,805,19,2,2,0,0
67,929,19,1,1,0,0
68,1341,19,2,2,0,0
69,1362,19,2,2,0,0
70,1399,19,1,1,0,0
71,1402,19,2,2,0,0
72,1424,19,3,1,0,0
73,1428,19,1,1,0,0
74,1488,19,1,1,0,0
75,1531,19,1,1,0,0
76,1560,19,1,1,0,0
77,425,19,5,5,1,0.2
78,1264,19,7,7,2,0.286
79,81,19,3,3,1,0.333
80,206,19,3,3,1,0.333
81,298,19,3,3,1,0.333
82,645,19,3,3,1,0.333
83,1359,19,3,3,1,0.333
84,1555,19,3,3,1,0.333
85,436,19,3,2,1,0.5
86,534,19,2,2,1,0.5
87,1397,19,3,2,1,0.5
88,1298,19,3,3,2,0.667
89,1558,19,3,3,2,0.667
90,1272,19,1,1,1,1
91,1358,19,1,1,1,1
92,1457,19,1,1,1,1
93,1480,19,1,1,1,1
94,1561,19,1,1,1,1
95,1565,19,1,1,1,1
96,12,25,1,1,0,0
97,81,25,2,2,0,0
98,110,25,2,2,0,0
99,115,25,3,3,0,0
100,290,25,1,1,0,0
101,292,25,1,1,0,0
102,424,25,1,1,0,0
103,611,25,2,2,0,0
104,812,25,1,1,0,0
105,960,25,1,1,0,0
106,1359,25,2,2,0,0
107,1362,25,1,1,0,0
108,1399,25,1,1,0,0
109,1402,25,2,2,0,0
110,1417,25,2,2,0,0
111,1424,25,2,2,0,0
112,1454,25,1,1,0,0
113,1457,25,1,1,0,0
114,1560,25,1,1,0,0
115,1565,25,1,1,0,0
116,1571,25,1,1,0,0
117,434,25,2,2,1,0.5
118,267,25,3,3,2,0.667
119,197,25,1,1,1,1
120,243,25,1,1,1,1
121,425,25,1,1,1,1
122,267,75,3,3,0,0
123,284,75,2,1,0,0
124,290,75,2,2,0,0
125,292,75,1,1,0,0
126,425,75,2,2,0,0
127,446,75,1,1,0,0
128,546,75,3,3,0,0
129,625,75,2,2,0,0
130,630,75,2,2,0,0
131,645,75,4,3,0,0
132,677,75,2,1,0,0
133,696,75,1,1,0,0
134,799,75,1,1,0,0
135,805,75,3,3,0,0
136,875,75,1,1,0,0
137,929,75,1,1,0,0
138,937,75,1,1,0,0
139,960,75,1,1,0,0
140,1268,75,1,1,0,0
141,1298,75,4,3,0,0
142,1301,75,2,2,0,0
143,1305,75,3,3,0,0
144,1406,75,2,1,0,0
145,1417,75,2,2,0,0
146,1447,75,1,1,0,0
147,1454,75,2,2,0,0
148,1488,75,1,1,0,0
149,1526,75,1,1,0,0
150,1535,75,1,1,0,0
151,1550,75,2,2,0,0
152,1560,75,1,1,0,0
153,1565,75,4,4,0,0
154,1571,75,1,1,0,0
155,538,75,5,5,1,0.2
156,115,75,4,4,1,0.25
157,1264,75,6,4,1,0.25
158,298,75,3,3,1,0.333
159,430,75,3,3,1,0.333
160,608,75,3,3,1,0.333
161,110,75,3,2,1,0.5
162,434,75,3,2,1,0.5
163,613,75,2,2,1,0.5
164,784,75,2,2,1,0.5
165,811,75,2,2,1,0.5
166,1570,75,2,2,1,0.5
167,611,75,5,4,2,0.5
168,643,75,4,4,2,0.5
169,101,75,1,1,1,1
170,197,75,1,1,1,1
171,199,75,1,1,1,1
172,1362,75,1,1,1,1
173,1424,75,3,1,1,1
174,1537,75,1,1,1,1
175,1549,75,1,1,1,1
176,81,111,3,2,0,0
177,113,111,1,1,0,0
178,193,111,2,2,0,0
179,197,111,3,2,0,0
180,199,111,1,1,0,0
181,201,111,2,1,0,0
182,246,111,1,1,0,0
183,282,111,1,1,0,0
184,284,111,2,2,0,0
185,534,111,1,1,0,0
186,546,111,3,3,0,0
